id,preco
"3,00716E+38",9334009482668212.0
"2,7964E+38",1.0138206948391048e+16
"5,64145E+37",1.031258682041234e+16
"5,68625E+37",1.0293195756942974e+16
"3,38981E+38",1.1490382160679208e+16
"3,04613E+38",9172236162291804.0
"2,30951E+38",9702319987125684.0
"1,90159E+38",9608502938472560.0
"2,71934E+37",9314631977413352.0
"1,91521E+38",1.0714494445411602e+16
"1,90156E+38",1.0099485405305272e+16
"2,15983E+38",9640907535479308.0
"1,63597E+38",1.1259489524590728e+16
"2,21195E+38",1.0159390012859446e+16
"8,45802E+37",1.0012602534782186e+16
"1,99861E+38",1.032145737422138e+16
"1,03803E+38",1.0470348546080976e+16
"2,26236E+37",9883521152427372.0
"1,46837E+38",1.1501393296497782e+16
"1,18295E+38",1.104695881508951e+16
"2,44928E+38",1.0428904622824132e+16
"1,61689E+38",1.2073870916438852e+16
"8,78267E+37",9022285518732326.0
"1,94677E+38",9471960266412412.0
"2,84715E+38",1.0166784138493462e+16
"2,9165E+38",1.0267048303936528e+16
"1,28174E+38",1.1895746889356974e+16
"9,85637E+37",9229973495994162.0
"2,82004E+38",1.0271703478701102e+16
"2,70544E+38",9326519208627876.0
"3,24288E+38",9042103718794400.0
"1,67736E+38",1.1516314584399334e+16
"1,44443E+38",9746785969594092.0
"1,19296E+38",1.0317759329444792e+16
"1,28286E+38",9897483599754328.0
"6,27548E+37",1.000392457933388e+16
"3,18599E+38",8710377113660449.0
"2,47505E+38",9088278557189376.0
"3,04054E+38",9624134324747672.0
"4,84238E+37",9642200334017846.0
"3,14781E+38",1.1364814635297544e+16
"1,80872E+38",8966750292685883.0
"2,50143E+38",1.0142541315086804e+16
"1,60538E+38",1.0376439276859856e+16
"5,15187E+37",9215743862352570.0
"1,32233E+37",1.0375039547119162e+16
"2,9637E+38",1.0326836608754144e+16
"8,35806E+37",1.0483793240062556e+16
"2,8895E+38",1.0513464583598458e+16
"1,55647E+38",1.0375050733095124e+16
"1,20818E+38",1.0140685717750946e+16
"1,64838E+38",9607627907908664.0
"2,81255E+38",9197843850104788.0
"1,42703E+37",9906484327190616.0
"2,49655E+38",1.0935493568912878e+16
"2,91036E+38",1.040920630950045e+16
"1,93961E+38",1.0171839789538738e+16
"1,55133E+38",1.0353010017344376e+16
"3,25035E+38",1.036061332830485e+16
"2,44174E+38",9187572442749334.0
"1,58693E+37",9087605347043014.0
"3,54293E+37",1.0143189781042698e+16
"3,08547E+38",1.003098013006438e+16
"7,07876E+37",9925260181501800.0
"1,04732E+38",9100211898687898.0
"3,28881E+38",1.1828038338774694e+16
"7,56467E+37",9950335207272124.0
"1,2866E+38",9458809613416358.0
"9,14641E+37",1.0539782369785e+16
"3,12392E+38",1.0632767410433348e+16
"2,76121E+38",9335189905938546.0
"3,22759E+38",1.0090565549632406e+16
"3,27763E+38",9417338023989116.0
"2,0588E+38",9427325511502948.0
"2,8728E+37",9419663946221746.0
"2,76847E+38",1.0020966940299312e+16
"2,20515E+38",9115370996147074.0
"1,25709E+38",1.0134887007943238e+16
"2,87333E+38",8934832754102897.0
"4,69883E+37",1.097367933070084e+16
"2,21585E+38",1.196530886379542e+16
"3,12978E+38",1.0056030910837532e+16
"2,01871E+38",9093145839260336.0
"7,20807E+37",1.0126126053983736e+16
"1,4074E+38",1.021950860113523e+16
"2,11486E+38",1.0022417725196762e+16
"2,85601E+38",9453800971742188.0
"2,42935E+38",1.0051464282135178e+16
"1,05571E+38",1.025205323958058e+16
"3,81543E+37",1.0367866750848332e+16
"2,71582E+38",9396219513918316.0
"1,42745E+38",1.0427226208486628e+16
"5,94493E+37",9881003784253664.0
"1,64766E+38",1.1356625448859608e+16
"1,25E+38",9380024517346380.0
"3,12465E+38",9117814841198936.0
"3,06447E+38",9676375565930092.0
"3,86501E+37",9181882433704056.0
"3,91839E+37",1.018149528300779e+16
"1,87443E+38",9654771062267586.0
"4,50931E+37",9744399167469638.0
"2,92606E+37",9440256799054976.0
"1,58844E+38",1.0181208334414952e+16
"2,81809E+38",1.0982212508659024e+16
"1,96949E+38",1.1599541683095444e+16
"2,94916E+38",1.0071218885860426e+16
"1,16923E+38",9211273128723988.0
"3,25687E+38",1.1028092241236416e+16
"2,61514E+38",9641138898398798.0
"3,08291E+38",9643316202890582.0
